freq,psd_x,psd_y,psd_z,psd_xyz,zv(119.6),mzv(77.4),ei(118.8),2hump_ei(39.0),3hump_ei(98.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.998,0.995,0.996,0.977,0.990
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.990,0.991,0.942,0.976
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.993,0.982,0.986,0.896,0.960
6.2,2.673e+04,6.729e+03,3.344e+03,3.680e+04,0.990,0.974,0.979,0.840,0.941
7.7,2.197e+04,5.370e+03,2.621e+03,2.996e+04,0.986,0.965,0.972,0.777,0.919
9.2,1.876e+04,4.750e+03,2.251e+03,2.576e+04,0.982,0.954,0.964,0.707,0.896
10.8,1.577e+04,4.350e+03,2.045e+03,2.216e+04,0.978,0.942,0.955,0.632,0.869
12.3,1.397e+04,3.954e+03,2.008e+03,1.994e+04,0.973,0.930,0.946,0.555,0.841
13.8,1.238e+04,3.625e+03,1.897e+03,1.790e+04,0.968,0.916,0.936,0.478,0.811
15.4,1.188e+04,3.552e+03,1.816e+03,1.725e+04,0.963,0.901,0.925,0.402,0.779
16.9,1.077e+04,3.108e+03,1.707e+03,1.559e+04,0.957,0.885,0.913,0.329,0.746
18.5,9.484e+03,2.844e+03,1.674e+03,1.400e+04,0.951,0.868,0.901,0.260,0.711
20.0,9.091e+03,2.764e+03,1.666e+03,1.352e+04,0.945,0.851,0.888,0.198,0.676
21.5,8.627e+03,2.572e+03,1.590e+03,1.279e+04,0.938,0.832,0.874,0.143,0.639
23.1,8.072e+03,2.346e+03,1.391e+03,1.181e+04,0.930,0.813,0.860,0.096,0.602
24.6,7.578e+03,2.173e+03,1.344e+03,1.109e+04,0.923,0.793,0.845,0.059,0.565
26.2,6.918e+03,2.117e+03,1.355e+03,1.039e+04,0.915,0.772,0.830,0.034,0.528
27.7,6.665e+03,2.132e+03,1.321e+03,1.012e+04,0.907,0.750,0.814,0.028,0.491
29.2,7.110e+03,2.113e+03,1.286e+03,1.051e+04,0.898,0.728,0.798,0.033,0.454
30.8,6.745e+03,2.017e+03,1.196e+03,9.959e+03,0.889,0.705,0.781,0.038,0.417
32.3,6.139e+03,1.971e+03,1.176e+03,9.286e+03,0.880,0.682,0.764,0.038,0.381
33.8,5.987e+03,2.010e+03,1.177e+03,9.174e+03,0.870,0.658,0.746,0.034,0.347
35.4,5.548e+03,1.958e+03,1.128e+03,8.634e+03,0.860,0.634,0.728,0.027,0.313
36.9,5.070e+03,1.856e+03,1.057e+03,7.983e+03,0.850,0.609,0.710,0.017,0.280
38.5,5.058e+03,1.841e+03,1.079e+03,7.978e+03,0.839,0.584,0.691,0.011,0.249
40.0,5.020e+03,1.917e+03,1.103e+03,8.039e+03,0.828,0.559,0.672,0.012,0.220
41.5,4.869e+03,1.948e+03,1.083e+03,7.900e+03,0.817,0.533,0.653,0.019,0.192
43.1,5.220e+03,1.889e+03,1.041e+03,8.149e+03,0.806,0.508,0.633,0.027,0.166
44.6,5.524e+03,1.913e+03,1.066e+03,8.504e+03,0.794,0.482,0.613,0.031,0.142
46.2,5.472e+03,1.984e+03,1.090e+03,8.545e+03,0.782,0.456,0.593,0.031,0.120
47.7,5.558e+03,2.030e+03,1.094e+03,8.682e+03,0.770,0.430,0.573,0.027,0.100
49.2,5.333e+03,1.977e+03,1.138e+03,8.448e+03,0.757,0.405,0.553,0.027,0.082
50.8,5.278e+03,1.981e+03,1.173e+03,8.432e+03,0.744,0.379,0.533,0.029,0.067
52.3,5.621e+03,2.039e+03,1.181e+03,8.841e+03,0.731,0.354,0.513,0.035,0.055
53.8,5.684e+03,2.072e+03,1.217e+03,8.972e+03,0.718,0.328,0.492,0.046,0.046
55.4,5.760e+03,2.105e+03,1.226e+03,9.092e+03,0.704,0.303,0.472,0.074,0.040
56.9,5.788e+03,2.148e+03,1.217e+03,9.153e+03,0.690,0.279,0.452,0.109,0.037
58.5,5.846e+03,2.127e+03,1.246e+03,9.218e+03,0.676,0.254,0.432,0.146,0.037
60.0,6.439e+03,2.143e+03,1.262e+03,9.844e+03,0.662,0.231,0.412,0.186,0.038
61.5,6.936e+03,2.099e+03,1.244e+03,1.028e+04,0.647,0.207,0.392,0.227,0.039
63.1,7.392e+03,2.027e+03,1.211e+03,1.063e+04,0.632,0.184,0.372,0.268,0.040
64.6,7.881e+03,2.095e+03,1.219e+03,1.120e+04,0.617,0.162,0.352,0.308,0.040
66.2,8.832e+03,2.153e+03,1.249e+03,1.223e+04,0.602,0.140,0.333,0.345,0.040
67.7,8.885e+03,2.240e+03,1.250e+03,1.238e+04,0.587,0.119,0.314,0.380,0.039
69.2,9.684e+03,2.287e+03,1.209e+03,1.318e+04,0.571,0.099,0.295,0.411,0.037
70.8,1.104e+04,2.325e+03,1.205e+03,1.457e+04,0.555,0.080,0.277,0.436,0.034
