freq,psd_x,psd_y,psd_z,psd_xyz,zv(82.0),mzv(72.8),ei(87.6),2hump_ei(99.6),3hump_ei(61.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.997,0.995,0.994,0.993,0.982
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.993,0.989,0.987,0.983,0.956
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.989,0.981,0.979,0.972,0.924
6.2,6.328e+04,1.282e+04,7.647e+03,8.374e+04,0.983,0.972,0.969,0.959,0.885
7.7,5.187e+04,1.100e+04,6.906e+03,6.978e+04,0.977,0.962,0.957,0.944,0.841
9.2,4.132e+04,1.035e+04,6.622e+03,5.830e+04,0.970,0.950,0.944,0.927,0.792
10.8,3.417e+04,8.420e+03,5.473e+03,4.806e+04,0.962,0.937,0.930,0.909,0.739
12.3,2.927e+04,7.924e+03,4.620e+03,4.182e+04,0.953,0.923,0.915,0.889,0.683
13.8,2.514e+04,7.459e+03,3.925e+03,3.653e+04,0.944,0.908,0.898,0.868,0.625
15.4,2.170e+04,7.197e+03,3.895e+03,3.279e+04,0.933,0.891,0.880,0.845,0.565
16.9,2.090e+04,7.881e+03,4.005e+03,3.279e+04,0.922,0.874,0.861,0.822,0.506
18.5,2.098e+04,7.406e+03,3.875e+03,3.226e+04,0.911,0.855,0.841,0.797,0.447
20.0,1.769e+04,7.825e+03,3.710e+03,2.922e+04,0.898,0.835,0.820,0.771,0.389
21.5,1.511e+04,8.380e+03,3.403e+03,2.689e+04,0.885,0.815,0.798,0.744,0.333
23.1,1.217e+04,8.549e+03,3.156e+03,2.388e+04,0.871,0.794,0.775,0.716,0.281
24.6,1.112e+04,8.958e+03,2.937e+03,2.301e+04,0.857,0.771,0.751,0.687,0.232
26.2,1.033e+04,8.931e+03,2.657e+03,2.192e+04,0.841,0.748,0.727,0.658,0.187
27.7,1.014e+04,9.121e+03,2.568e+03,2.183e+04,0.826,0.725,0.702,0.628,0.147
29.2,1.023e+04,9.708e+03,2.377e+03,2.232e+04,0.809,0.700,0.676,0.598,0.112
30.8,9.965e+03,9.837e+03,2.264e+03,2.207e+04,0.792,0.675,0.650,0.568,0.083
32.3,8.491e+03,1.002e+04,2.117e+03,2.062e+04,0.774,0.650,0.623,0.538,0.060
33.9,7.888e+03,1.010e+04,2.049e+03,2.003e+04,0.756,0.624,0.596,0.507,0.045
