freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.220e+04,4.465e+03,1.816e+03,2.848e+04
1.5,2.393e+05,5.172e+04,2.119e+04,3.122e+05
3.1,2.611e+05,5.861e+04,2.367e+04,3.433e+05
4.6,2.077e+05,4.411e+04,1.746e+04,2.692e+05
6.2,1.563e+05,3.106e+04,1.247e+04,1.998e+05
7.7,1.461e+05,3.135e+04,1.315e+04,1.906e+05
9.2,1.370e+05,3.148e+04,1.388e+04,1.823e+05
10.8,1.320e+05,3.189e+04,1.391e+04,1.778e+05
12.3,1.311e+05,3.157e+04,1.346e+04,1.761e+05
13.9,1.269e+05,3.016e+04,1.376e+04,1.708e+05
15.4,1.357e+05,2.996e+04,1.365e+04,1.793e+05
16.9,1.441e+05,2.715e+04,1.221e+04,1.834e+05
18.5,1.442e+05,2.537e+04,1.155e+04,1.812e+05
20.0,1.542e+05,2.654e+04,1.221e+04,1.930e+05
21.5,1.676e+05,2.884e+04,1.259e+04,2.090e+05
23.1,1.690e+05,3.082e+04,1.346e+04,2.133e+05
24.6,1.637e+05,3.191e+04,1.411e+04,2.097e+05
26.2,1.661e+05,3.427e+04,1.563e+04,2.160e+05
27.7,1.698e+05,3.768e+04,1.730e+04,2.247e+05
29.2,1.785e+05,3.962e+04,1.814e+04,2.363e+05
30.8,1.907e+05,4.268e+04,1.968e+04,2.531e+05
32.3,1.827e+05,4.469e+04,2.028e+04,2.476e+05
33.9,1.775e+05,4.513e+04,2.088e+04,2.435e+05
35.4,1.764e+05,4.685e+04,2.184e+04,2.451e+05
36.9,1.770e+05,4.830e+04,2.184e+04,2.471e+05
38.5,1.845e+05,5.084e+04,2.302e+04,2.584e+05
40.0,1.893e+05,5.042e+04,2.392e+04,2.637e+05
41.6,2.031e+05,5.259e+04,2.470e+04,2.803e+05
43.1,2.150e+05,5.505e+04,2.538e+04,2.955e+05
44.6,2.156e+05,5.391e+04,2.661e+04,2.961e+05
46.2,2.334e+05,5.446e+04,2.791e+04,3.157e+05
47.7,2.316e+05,5.328e+04,2.845e+04,3.133e+05
49.3,2.403e+05,5.735e+04,2.955e+04,3.272e+05
50.8,2.586e+05,6.003e+04,3.318e+04,3.518e+05
52.3,2.900e+05,6.228e+04,3.576e+04,3.881e+05
53.9,3.173e+05,6.346e+04,3.657e+04,4.173e+05
55.4,3.437e+05,6.481e+04,3.856e+04,4.471e+05
57.0,3.802e+05,6.630e+04,3.967e+04,4.861e+05
58.5,4.348e+05,6.569e+04,4.029e+04,5.408e+05
60.0,4.881e+05,6.611e+04,4.239e+04,5.966e+05
61.6,5.382e+05,6.653e+04,4.230e+04,6.470e+05
63.1,5.866e+05,6.594e+04,4.316e+04,6.957e+05
64.6,6.526e+05,6.807e+04,4.228e+04,7.629e+05
66.2,7.247e+05,7.184e+04,4.178e+04,8.384e+05
67.7,7.233e+05,6.976e+04,3.911e+04,8.322e+05
69.3,7.492e+05,7.239e+04,3.803e+04,8.596e+05
70.8,7.727e+05,7.750e+04,3.968e+04,8.899e+05
72.3,7.992e+05,7.952e+04,3.911e+04,9.178e+05
73.9,9.448e+05,8.705e+04,3.551e+04,1.067e+06
75.4,1.104e+06,8.649e+04,3.211e+04,1.222e+06
77.0,1.162e+06,7.781e+04,3.000e+04,1.270e+06
78.5,1.227e+06,6.986e+04,2.599e+04,1.323e+06
80.0,1.312e+06,6.181e+04,2.407e+04,1.398e+06
81.6,1.213e+06,5.776e+04,2.226e+04,1.293e+06
83.1,1.183e+06,5.252e+04,2.144e+04,1.257e+06
84.7,1.372e+06,4.572e+04,2.090e+04,1.438e+06
86.2,1.655e+06,4.259e+04,2.067e+04,1.718e+06
87.7,1.973e+06,4.086e+04,2.051e+04,2.034e+06
89.3,2.283e+06,4.107e+04,2.357e+04,2.348e+06
90.8,2.587e+06,3.808e+04,2.770e+04,2.652e+06
92.4,2.970e+06,3.714e+04,3.178e+04,3.039e+06
93.9,3.146e+06,3.863e+04,3.646e+04,3.221e+06
95.4,3.194e+06,3.838e+04,3.796e+04,3.271e+06
97.0,3.081e+06,4.208e+04,4.104e+04,3.164e+06
98.5,2.956e+06,4.769e+04,4.407e+04,3.048e+06
100.1,3.186e+06,4.220e+04,4.079e+04,3.269e+06
101.6,3.426e+06,4.202e+04,3.823e+04,3.506e+06
103.1,3.582e+06,4.274e+04,3.748e+04,3.662e+06
104.7,3.334e+06,4.220e+04,3.702e+04,3.413e+06
106.2,3.566e+06,4.146e+04,3.457e+04,3.642e+06
107.7,3.966e+06,4.949e+04,3.754e+04,4.053e+06
109.3,4.184e+06,5.983e+04,4.155e+04,4.286e+06
110.8,4.440e+06,6.679e+04,3.927e+04,4.547e+06
112.4,4.659e+06,6.911e+04,3.490e+04,4.763e+06
113.9,4.947e+06,7.233e+04,3.468e+04,5.054e+06
115.4,5.170e+06,7.962e+04,3.631e+04,5.286e+06
117.0,5.047e+06,8.091e+04,3.647e+04,5.164e+06
118.5,4.854e+06,7.918e+04,3.490e+04,4.968e+06
120.1,4.652e+06,7.382e+04,3.403e+04,4.760e+06
121.6,4.539e+06,7.332e+04,3.716e+04,4.650e+06
123.1,4.718e+06,7.459e+04,4.261e+04,4.835e+06
124.7,4.898e+06,7.917e+04,4.925e+04,5.026e+06
126.2,4.699e+06,8.409e+04,5.490e+04,4.838e+06
127.8,4.827e+06,9.407e+04,6.188e+04,4.983e+06
129.3,5.724e+06,1.145e+05,7.338e+04,5.912e+06
130.8,6.686e+06,1.299e+05,7.969e+04,6.896e+06
132.4,5.066e+06,1.095e+05,7.199e+04,5.248e+06
133.9,1.123e+06,7.695e+04,4.931e+04,1.250e+06
135.5,3.414e+05,7.303e+04,4.561e+04,4.600e+05
137.0,3.494e+05,7.265e+04,4.739e+04,4.694e+05
138.5,3.589e+05,6.755e+04,4.767e+04,4.741e+05
140.1,3.761e+05,6.772e+04,5.013e+04,4.939e+05
141.6,4.029e+05,7.110e+04,5.460e+04,5.287e+05
143.1,4.021e+05,7.029e+04,5.656e+04,5.289e+05
144.7,3.971e+05,7.087e+04,5.740e+04,5.254e+05
