freq,psd_x,psd_y,psd_z,psd_xyz,zv(112.6),mzv(74.2),ei(104.6),2hump_ei(102.8),3hump_ei(94.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.998,0.995,0.995,0.993,0.989
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.989,0.990,0.984,0.975
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.992,0.981,0.983,0.973,0.958
6.2,4.732e+03,2.693e+03,1.087e+03,8.512e+03,0.989,0.973,0.975,0.960,0.938
7.7,3.777e+03,2.267e+03,8.512e+02,6.896e+03,0.985,0.963,0.967,0.946,0.915
9.2,2.974e+03,1.985e+03,7.514e+02,5.711e+03,0.981,0.951,0.957,0.930,0.889
10.8,2.458e+03,1.861e+03,6.816e+02,5.001e+03,0.976,0.939,0.946,0.913,0.861
12.3,2.140e+03,1.711e+03,6.047e+02,4.455e+03,0.971,0.925,0.935,0.894,0.831
13.9,1.948e+03,1.606e+03,5.753e+02,4.130e+03,0.965,0.910,0.922,0.874,0.799
15.4,1.524e+03,1.731e+03,5.197e+02,3.774e+03,0.959,0.894,0.909,0.853,0.765
16.9,1.247e+03,1.653e+03,4.578e+02,3.358e+03,0.953,0.877,0.894,0.830,0.730
18.5,1.304e+03,1.619e+03,4.632e+02,3.386e+03,0.946,0.859,0.879,0.806,0.693
20.0,1.230e+03,1.608e+03,4.523e+02,3.290e+03,0.939,0.840,0.863,0.781,0.656
21.5,1.232e+03,1.666e+03,4.563e+02,3.354e+03,0.931,0.820,0.847,0.755,0.617
23.1,1.176e+03,1.768e+03,4.398e+02,3.383e+03,0.923,0.800,0.829,0.729,0.579
24.6,1.195e+03,1.845e+03,4.452e+02,3.486e+03,0.915,0.778,0.811,0.701,0.540
26.2,1.096e+03,1.951e+03,4.402e+02,3.487e+03,0.906,0.756,0.793,0.673,0.501
27.7,1.108e+03,1.950e+03,4.413e+02,3.499e+03,0.897,0.733,0.773,0.645,0.462
29.2,1.083e+03,2.141e+03,4.216e+02,3.645e+03,0.887,0.709,0.753,0.616,0.424
30.8,1.031e+03,2.371e+03,3.943e+02,3.796e+03,0.877,0.685,0.733,0.587,0.387
32.3,9.550e+02,2.421e+03,3.950e+02,3.771e+03,0.867,0.660,0.712,0.558,0.350
33.9,9.267e+02,2.345e+03,3.755e+02,3.647e+03,0.856,0.635,0.691,0.528,0.315
35.4,8.607e+02,2.167e+03,3.473e+02,3.375e+03,0.845,0.609,0.669,0.499,0.281
36.9,8.435e+02,1.939e+03,3.567e+02,3.139e+03,0.834,0.583,0.647,0.469,0.249
38.5,8.329e+02,1.898e+03,3.276e+02,3.059e+03,0.822,0.557,0.625,0.440,0.218
40.0,7.992e+02,1.843e+03,3.300e+02,2.972e+03,0.810,0.530,0.603,0.412,0.189
41.6,7.821e+02,1.773e+03,3.354e+02,2.890e+03,0.798,0.503,0.580,0.383,0.162
43.1,8.844e+02,1.846e+03,3.757e+02,3.106e+03,0.785,0.476,0.557,0.355,0.137
44.6,8.372e+02,1.753e+03,3.322e+02,2.923e+03,0.772,0.449,0.534,0.328,0.115
46.2,7.392e+02,1.851e+03,3.066e+02,2.897e+03,0.759,0.423,0.511,0.301,0.095
47.7,6.691e+02,1.909e+03,2.785e+02,2.857e+03,0.745,0.396,0.488,0.276,0.077
49.2,6.420e+02,1.944e+03,2.616e+02,2.848e+03,0.731,0.369,0.465,0.251,0.063
50.8,6.279e+02,2.015e+03,2.848e+02,2.928e+03,0.717,0.343,0.442,0.227,0.051
52.3,6.010e+02,2.232e+03,2.958e+02,3.129e+03,0.702,0.316,0.419,0.203,0.043
53.9,6.330e+02,2.349e+03,3.172e+02,3.300e+03,0.687,0.290,0.396,0.181,0.038
55.4,6.919e+02,2.625e+03,3.535e+02,3.670e+03,0.672,0.265,0.374,0.160,0.037
56.9,7.688e+02,2.792e+03,4.201e+02,3.981e+03,0.657,0.240,0.352,0.140,0.037
58.5,8.112e+02,3.003e+03,5.507e+02,4.365e+03,0.642,0.215,0.330,0.122,0.038
60.0,8.442e+02,5.004e+03,7.709e+02,6.619e+03,0.626,0.191,0.308,0.104,0.039
61.6,8.953e+02,7.676e+03,1.022e+03,9.593e+03,0.610,0.168,0.287,0.088,0.040
63.1,1.013e+03,9.607e+03,1.163e+03,1.178e+04,0.593,0.145,0.266,0.074,0.040
64.6,1.206e+03,1.017e+04,1.337e+03,1.271e+04,0.577,0.123,0.246,0.061,0.039
66.2,1.393e+03,9.817e+03,1.600e+03,1.281e+04,0.560,0.102,0.226,0.049,0.037
67.7,1.242e+03,9.144e+03,1.509e+03,1.190e+04,0.543,0.081,0.207,0.040,0.035
69.3,1.232e+03,7.913e+03,1.539e+03,1.068e+04,0.526,0.062,0.188,0.033,0.032
70.8,1.226e+03,7.693e+03,1.536e+03,1.046e+04,0.509,0.049,0.170,0.029,0.028
72.3,1.217e+03,7.296e+03,1.567e+03,1.008e+04,0.492,0.040,0.153,0.027,0.024
73.9,1.212e+03,6.797e+03,1.686e+03,9.694e+03,0.474,0.035,0.136,0.028,0.020
75.4,1.212e+03,7.165e+03,1.854e+03,1.023e+04,0.456,0.036,0.120,0.030,0.016
77.0,1.209e+03,8.146e+03,1.918e+03,1.127e+04,0.438,0.041,0.104,0.033,0.013
78.5,1.166e+03,9.100e+03,1.954e+03,1.222e+04,0.420,0.049,0.090,0.035,0.012
80.0,9.472e+02,8.899e+03,1.542e+03,1.139e+04,0.402,0.059,0.076,0.037,0.012
81.6,5.874e+02,7.896e+03,8.434e+02,9.326e+03,0.384,0.071,0.064,0.038,0.014
83.1,4.877e+02,8.054e+03,6.884e+02,9.230e+03,0.365,0.082,0.052,0.038,0.017
84.6,4.958e+02,9.038e+03,6.223e+02,1.016e+04,0.347,0.092,0.042,0.038,0.020
86.2,4.275e+02,1.075e+04,5.260e+02,1.171e+04,0.328,0.101,0.032,0.037,0.023
87.7,3.932e+02,1.305e+04,4.686e+02,1.392e+04,0.310,0.109,0.025,0.036,0.025
89.3,3.613e+02,1.589e+04,4.099e+02,1.666e+04,0.291,0.116,0.021,0.034,0.027
90.8,4.011e+02,1.815e+04,3.886e+02,1.894e+04,0.272,0.121,0.020,0.032,0.029
92.3,4.179e+02,1.993e+04,3.532e+02,2.070e+04,0.253,0.126,0.022,0.029,0.030
93.9,4.475e+02,2.237e+04,3.072e+02,2.312e+04,0.235,0.129,0.025,0.025,0.030
95.4,4.744e+02,2.484e+04,2.794e+02,2.559e+04,0.216,0.132,0.029,0.022,0.030
97.0,4.404e+02,2.716e+04,2.736e+02,2.787e+04,0.197,0.133,0.032,0.018,0.029
98.5,3.486e+02,2.848e+04,2.590e+02,2.908e+04,0.178,0.133,0.035,0.014,0.027
100.0,3.239e+02,2.965e+04,3.515e+02,3.033e+04,0.159,0.132,0.037,0.012,0.025
101.6,3.166e+02,2.889e+04,4.449e+02,2.965e+04,0.141,0.130,0.039,0.011,0.023
103.1,3.590e+02,2.843e+04,5.489e+02,2.934e+04,0.122,0.127,0.040,0.011,0.019
104.7,4.763e+02,2.884e+04,6.833e+02,3.000e+04,0.107,0.123,0.040,0.011,0.016
106.2,5.144e+02,2.856e+04,7.829e+02,2.986e+04,0.094,0.118,0.039,0.013,0.014
107.7,6.304e+02,2.980e+04,8.379e+02,3.127e+04,0.081,0.112,0.037,0.015,0.013
109.3,6.719e+02,3.092e+04,9.001e+02,3.249e+04,0.072,0.105,0.035,0.019,0.012
110.8,6.388e+02,3.159e+04,9.243e+02,3.315e+04,0.065,0.098,0.032,0.022,0.012
112.3,6.261e+02,3.173e+04,8.631e+02,3.322e+04,0.062,0.095,0.031,0.025,0.012
113.9,6.003e+02,3.146e+04,8.472e+02,3.291e+04,0.064,0.091,0.029,0.027,0.013
115.4,5.925e+02,3.182e+04,8.430e+02,3.326e+04,0.070,0.088,0.028,0.029,0.014
