freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.331e+03,3.876e+03,1.539e+03,1.275e+04
1.5,3.337e+04,1.635e+04,7.812e+03,5.753e+04
3.1,3.964e+04,1.834e+04,8.632e+03,6.661e+04
4.6,3.803e+04,1.825e+04,8.587e+03,6.487e+04
6.2,3.524e+04,1.845e+04,8.083e+03,6.178e+04
7.7,3.663e+04,1.955e+04,8.345e+03,6.453e+04
9.2,3.693e+04,2.065e+04,8.892e+03,6.647e+04
10.8,3.628e+04,2.166e+04,9.074e+03,6.701e+04
12.3,3.584e+04,2.331e+04,9.172e+03,6.833e+04
13.9,3.700e+04,2.788e+04,9.455e+03,7.434e+04
15.4,3.676e+04,2.920e+04,9.231e+03,7.519e+04
16.9,3.572e+04,3.064e+04,9.051e+03,7.540e+04
18.5,3.311e+04,3.253e+04,9.394e+03,7.504e+04
20.0,3.262e+04,3.798e+04,9.692e+03,8.029e+04
21.5,3.357e+04,4.404e+04,9.741e+03,8.735e+04
23.1,3.392e+04,4.928e+04,9.935e+03,9.313e+04
24.6,3.350e+04,5.654e+04,9.926e+03,9.996e+04
26.2,3.362e+04,5.829e+04,1.022e+04,1.021e+05
27.7,3.425e+04,6.180e+04,1.100e+04,1.071e+05
29.2,3.185e+04,7.079e+04,1.049e+04,1.131e+05
30.8,3.321e+04,7.773e+04,1.039e+04,1.213e+05
32.3,3.384e+04,8.372e+04,1.088e+04,1.284e+05
33.9,3.198e+04,8.498e+04,1.182e+04,1.288e+05
35.4,3.137e+04,8.588e+04,1.216e+04,1.294e+05
36.9,3.153e+04,8.457e+04,1.265e+04,1.288e+05
38.5,3.203e+04,8.230e+04,1.292e+04,1.273e+05
40.0,3.321e+04,8.458e+04,1.349e+04,1.313e+05
41.6,3.614e+04,9.192e+04,1.427e+04,1.423e+05
43.1,3.826e+04,9.497e+04,1.483e+04,1.481e+05
44.6,3.609e+04,9.441e+04,1.433e+04,1.448e+05
46.2,3.385e+04,9.941e+04,1.470e+04,1.480e+05
47.7,3.114e+04,1.096e+05,1.452e+04,1.552e+05
49.3,3.059e+04,1.168e+05,1.348e+04,1.609e+05
50.8,3.025e+04,1.206e+05,1.378e+04,1.647e+05
52.3,3.149e+04,1.448e+05,1.523e+04,1.915e+05
53.9,3.486e+04,1.634e+05,1.739e+04,2.157e+05
55.4,3.790e+04,1.884e+05,2.065e+04,2.469e+05
56.9,4.218e+04,2.056e+05,2.554e+04,2.734e+05
58.5,4.697e+04,2.124e+05,3.124e+04,2.906e+05
60.0,5.237e+04,2.669e+05,4.441e+04,3.637e+05
61.6,6.000e+04,4.065e+05,6.419e+04,5.307e+05
63.1,6.842e+04,5.688e+05,8.086e+04,7.181e+05
64.6,7.777e+04,7.136e+05,8.744e+04,8.788e+05
66.2,8.186e+04,7.723e+05,8.847e+04,9.426e+05
67.7,9.371e+04,6.282e+05,1.074e+05,8.293e+05
69.3,9.861e+04,5.880e+05,1.147e+05,8.013e+05
70.8,1.026e+05,6.100e+05,1.200e+05,8.325e+05
72.3,1.102e+05,6.500e+05,1.213e+05,8.815e+05
73.9,1.178e+05,6.525e+05,1.284e+05,8.986e+05
75.4,1.264e+05,6.844e+05,1.400e+05,9.508e+05
77.0,1.333e+05,7.945e+05,1.432e+05,1.071e+06
78.5,1.344e+05,8.517e+05,1.470e+05,1.133e+06
80.0,1.029e+05,7.913e+05,1.197e+05,1.014e+06
81.6,7.940e+04,6.750e+05,7.116e+04,8.255e+05
83.1,7.501e+04,6.724e+05,5.744e+04,8.048e+05
84.6,7.318e+04,7.694e+05,5.437e+04,8.970e+05
86.2,6.935e+04,9.429e+05,5.567e+04,1.068e+06
87.7,6.637e+04,1.173e+06,6.004e+04,1.299e+06
89.3,5.873e+04,1.432e+06,6.094e+04,1.552e+06
90.8,5.604e+04,1.660e+06,6.327e+04,1.779e+06
92.3,5.089e+04,1.805e+06,6.494e+04,1.920e+06
93.9,4.666e+04,2.027e+06,6.651e+04,2.140e+06
95.4,5.037e+04,2.226e+06,7.171e+04,2.348e+06
97.0,6.287e+04,2.516e+06,7.321e+04,2.652e+06
98.5,7.644e+04,2.868e+06,7.260e+04,3.017e+06
100.0,7.461e+04,2.834e+06,7.689e+04,2.986e+06
101.6,6.958e+04,2.816e+06,7.817e+04,2.964e+06
103.1,6.086e+04,2.855e+06,7.479e+04,2.991e+06
104.7,5.146e+04,2.931e+06,7.445e+04,3.056e+06
